time,step num,fpa,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1775504746.152651,,,1.2957,0.4558,9.8871,0.0098,-0.0455,-0.0180
1775504746.153929,,,1.3436,0.4487,9.8835,0.0095,-0.0476,-0.0168
1775504746.154149,,,1.3328,0.4594,9.8847,0.0102,-0.0467,-0.0176
1775504746.1560209,,,1.3184,0.4570,9.8871,0.0124,-0.0481,-0.0177
1775504746.212832,,,1.3244,0.4678,9.8847,0.0139,-0.0475,-0.0183
1775504746.213891,,,1.3519,0.4379,9.8704,0.0131,-0.0466,-0.0185
1775504746.2141519,,,1.2885,0.4845,9.8728,0.0148,-0.0446,-0.0200
1775504746.242676,,,1.3364,0.4439,9.8548,0.0160,-0.0449,-0.0194
1775504746.243871,,,1.3220,0.4439,9.8644,0.0168,-0.0432,-0.0205
1775504746.2460108,,,1.2921,0.4833,9.8692,0.0209,-0.0409,-0.0232
1775504746.246187,,,1.3065,0.4319,9.8883,0.0206,-0.0394,-0.0221
1775504746.3031301,,,1.2861,0.4905,9.8979,0.0247,-0.0418,-0.0221
1775504746.3040168,,,1.2849,0.4666,9.8943,0.0224,-0.0435,-0.0208
1775504746.394999,,,1.2718,0.4690,9.8931,0.0229,-0.0451,-0.0194
1775504746.3954718,,,1.2921,0.4774,9.8859,0.0246,-0.0487,-0.0186
1775504746.395514,,,1.2861,0.4786,9.8943,0.0260,-0.0499,-0.0171
1775504746.395751,,,1.2897,0.4606,9.8692,0.0238,-0.0513,-0.0168
1775504746.3969312,,,1.3184,0.4319,9.8632,0.0258,-0.0509,-0.0183
1775504746.397096,,,1.2969,0.4678,9.8859,0.0296,-0.0486,-0.0206
1775504746.39729,,,1.3089,0.4726,9.8955,0.0304,-0.0443,-0.0212
1775504746.397511,,,1.2945,0.4917,9.8955,0.0302,-0.0440,-0.0228
1775504746.3987079,,,1.3005,0.4654,9.8788,0.0275,-0.0443,-0.0218
1775504746.4829419,,,1.2754,0.4965,9.8740,0.0281,-0.0443,-0.0234
1775504746.484235,,,1.2826,0.4762,9.8883,0.0305,-0.0461,-0.0234
1775504746.512759,,,1.2479,0.4977,9.8991,0.0341,-0.0484,-0.0240
1775504746.5142798,,,1.2514,0.4857,9.9063,0.0382,-0.0522,-0.0206
1775504746.5145018,,,1.2730,0.4738,9.8800,0.0406,-0.0542,-0.0202
1775504746.57284,,,1.2981,0.4642,9.8704,0.0435,-0.0560,-0.0203
1775504746.57443,,,1.2837,0.4738,9.9051,0.0577,-0.0530,-0.0250
1775504746.5746508,,,1.2993,0.5252,9.8967,0.0582,-0.0539,-0.0252
1775504746.602714,,,1.2502,0.5444,9.8788,0.0512,-0.0545,-0.0249
1775504746.604515,,,1.2861,0.5623,9.9051,0.0476,-0.0556,-0.0272
1775504746.604684,,,1.2885,0.5503,9.8991,0.0435,-0.0559,-0.0260
1775504746.63271,,,1.2287,0.5551,9.8955,0.0388,-0.0548,-0.0254
1775504746.662643,,,1.2287,0.5384,9.9015,0.0362,-0.0593,-0.0257
1775504746.664154,,,1.2933,0.5563,9.9123,0.0371,-0.0649,-0.0223
1775504746.66417,,,1.2933,0.5456,9.8871,0.0350,-0.0643,-0.0224
1775504746.666479,,,1.3161,0.5551,9.8895,0.0331,-0.0623,-0.0218
1775504746.666496,,,1.1928,0.5336,9.8871,0.0334,-0.0635,-0.0229
1775504746.6679559,,,1.2562,0.5503,9.8871,0.0338,-0.0695,-0.0220
1775504746.6680682,,,1.3424,0.5695,9.8728,0.0293,-0.0724,-0.0200
1775504746.6680782,,,1.3172,0.5779,9.8859,0.0258,-0.0684,-0.0202
1775504746.78312,,,1.3543,0.5503,9.8800,0.0200,-0.0582,-0.0194
1775504747.234111,,,1.3220,0.5647,9.8979,0.0206,-0.0525,-0.0200
1775504747.383231,,,1.2694,0.5791,9.9063,0.0183,-0.0502,-0.0171
1775504748.0745852,,,1.2754,0.5695,9.8859,0.0171,-0.0502,-0.0159
1775504748.0750349,,,1.3196,0.5456,9.8740,0.0163,-0.0487,-0.0153
1775504748.07508,,,1.2861,0.5791,9.9063,0.0159,-0.0454,-0.0153
1775504748.105319,,,1.2742,0.5898,9.8955,0.0098,-0.0449,-0.0134
1775504748.1056309,,,1.3089,0.5886,9.8871,0.0047,-0.0452,-0.0116
1775504748.1059232,,,1.2670,0.5671,9.8871,-0.0011,-0.0428,-0.0101
1775504748.1361222,,,1.2586,0.5779,9.9027,-0.0035,-0.0434,-0.0095
1775504748.136389,,,1.2694,0.5492,9.8728,-0.0079,-0.0460,-0.0050
1775504748.19387,,,1.3005,0.4582,9.8800,0.0301,-0.0655,-0.0102
1775504748.2838411,,,1.3125,0.4343,9.8800,0.0270,-0.0625,-0.0122
1775504748.313674,,,1.2814,0.4678,9.8847,0.0269,-0.0594,-0.0133
1775504748.314873,,,1.3149,0.3709,9.8644,0.0324,-0.0568,-0.0179
1775504748.315094,,,1.2670,0.4510,9.8740,0.0370,-0.0628,-0.0131
1775504748.43303,,,1.2646,0.4977,9.9338,0.0396,-0.0643,-0.0133
1775504748.493952,,,1.2730,0.5037,9.9266,0.0396,-0.0629,-0.0131
1775504748.612959,,,1.3352,0.4630,9.8572,0.0356,-0.0619,-0.0125
1775504748.6730921,,,1.2514,0.4415,9.8847,0.0359,-0.0622,-0.0137
1775504748.674138,,,1.3280,0.4714,9.8656,0.0232,-0.0724,-0.0049
1775504748.67591,,,1.2981,0.5228,9.8991,0.0243,-0.0709,-0.0069
1775504748.7326632,,,1.2933,0.4893,9.8680,0.0244,-0.0693,-0.0092
1775504748.8841128,,,1.3627,0.5288,9.8919,-0.0263,-0.0098,-0.0031
1775504748.8856761,,,1.3771,0.4702,9.8620,-0.0328,-0.0192,-0.0011
1775504748.885973,,,1.2885,0.4499,9.8967,-0.0310,-0.0212,-0.0023
1775504748.886017,,,1.2479,0.4092,9.8859,-0.0214,-0.0263,-0.0073
1775504748.887172,,,1.2610,0.4271,9.9027,-0.0145,-0.0304,-0.0064
1775504748.887418,,,1.3065,0.4594,9.8812,-0.0058,-0.0391,-0.0079
1775504748.8874571,,,1.2873,0.3840,9.8500,-0.0038,-0.0425,-0.0081
1775504748.887713,,,1.2993,0.4319,9.8764,0.0011,-0.0432,-0.0115
1775504748.887906,,,1.2909,0.3960,9.8369,0.0024,-0.0525,-0.0092
1775504748.890004,,,1.2921,0.3924,9.8512,0.0111,-0.0603,-0.0073
1775504748.914979,,,1.3472,0.4738,9.8800,0.0113,-0.0539,-0.0104
1775504748.9151812,,,1.3555,0.3051,9.8010,0.0093,-0.0522,-0.0121
1775504748.94339,,,1.2610,0.4965,9.9051,0.0130,-0.0501,-0.0170
1775504748.945774,,,1.2502,0.4271,9.8656,-0.0050,-0.0504,-0.0137
1775504748.945956,,,1.1880,0.4534,9.9637,-0.0076,-0.0525,-0.0084
1775504748.974231,,,1.2586,0.3673,9.8991,-0.0137,-0.0428,-0.0192
1775504748.974508,,,1.1498,0.3565,9.8907,-0.0082,-0.0464,-0.0182
1775504748.97454,,,1.2514,0.3721,9.9147,-0.0057,-0.0493,-0.0157
1775504748.976067,,,1.2993,0.4152,9.8967,-0.0037,-0.0518,-0.0166
1775504749.063926,,,1.2359,0.3505,9.8824,-0.0070,-0.0577,-0.0142
1775504749.065022,,,1.2395,0.3362,9.9111,-0.0049,-0.0661,-0.0104
1775504749.065229,,,1.2108,0.3374,9.9075,-0.0032,-0.0666,-0.0110
1775504749.092764,,,1.2634,0.3350,9.8979,-0.0034,-0.0690,-0.0102
1775504749.09395,,,1.2562,0.2907,9.8728,-0.0002,-0.0686,-0.0098
1775504749.094174,,,1.2538,0.3290,9.8967,0.0029,-0.0695,-0.0116
1775504749.154955,,,1.2419,0.3135,9.8991,0.0050,-0.0718,-0.0098
1775504749.155349,,,1.2502,0.3087,9.9003,0.0053,-0.0721,-0.0090
1775504749.1553888,,,1.2526,0.3075,9.9051,0.0064,-0.0730,-0.0078
1775504749.155906,,,1.2586,0.3338,9.9111,0.0070,-0.0733,-0.0081
1775504749.156152,,,1.2742,0.3182,9.8991,0.0060,-0.0728,-0.0084
1775504749.244032,,,1.2885,0.3159,9.8943,0.0072,-0.0730,-0.0084
1775504749.245013,,,1.2562,0.3111,9.8991,0.0075,-0.0724,-0.0089
1775504749.245316,,,1.2574,0.2871,9.8859,0.0150,-0.0742,-0.0090
1775504749.2453482,,,1.2646,0.3170,9.8991,0.0168,-0.0776,-0.0072
1775504749.2480052,,,1.2538,0.3194,9.9039,0.0180,-0.0762,-0.0075
1775504749.394151,,,1.2897,0.2967,9.8692,0.0200,-0.0765,-0.0075
1775504749.396886,,,1.3149,0.3135,9.8824,0.0205,-0.0742,-0.0087
1775504749.397237,,,1.3244,0.2967,9.8752,0.0200,-0.0728,-0.0084
1775504749.3972769,,,1.2574,0.3111,9.8824,0.0223,-0.0710,-0.0104
1775504749.397428,,,1.2826,0.3123,9.9003,0.0250,-0.0724,-0.0101
1775504749.399621,,,1.2694,0.3099,9.8979,0.0240,-0.0709,-0.0087
1775504749.3999171,,,1.3639,0.2584,9.8417,0.0258,-0.0716,-0.0092
1775504749.3999832,,,1.3125,0.3242,9.9015,0.0315,-0.0666,-0.0136
1775504749.400197,,,1.3089,0.3482,9.9003,0.0304,-0.0658,-0.0140
1775504749.425756,,,1.2921,0.3087,9.9015,0.0342,-0.0730,-0.0116
1775504749.456186,,,1.2694,0.3446,9.9075,0.0348,-0.0724,-0.0130
1775504749.456506,,,1.2467,0.3553,9.9039,0.0338,-0.0757,-0.0116
1775504749.456735,,,1.3029,0.3398,9.9087,0.0339,-0.0817,-0.0078
1775504749.456981,,,1.2670,0.3470,9.8512,0.0344,-0.0826,-0.0069
1775504749.457226,,,1.3579,0.3003,9.8393,0.0437,-0.0794,-0.0116
1775504749.457273,,,1.3268,0.4140,9.9170,0.0428,-0.0713,-0.0150
1775504749.4578161,,,1.3938,0.3482,9.8500,0.0426,-0.0684,-0.0154
1775504749.458085,,,1.3472,0.3434,9.8524,0.0431,-0.0631,-0.0182
1775504749.458122,,,1.3220,0.3960,9.9135,0.0464,-0.0594,-0.0200
