113922.024433791,20.0
113922.083588083,25.0
113922.143612125,30.0
113922.203191291,35.0
113922.264820041,40.0
113922.353132041,45.0
113922.413287,50.0
113922.474714125,0.0
113922.53533775,5.0
113922.6044395,10.0
113922.654365,10.0
113922.715055666,15.0
113922.776299625,20.0
113922.835372291,25.0
113922.89510975,30.0
113922.955195583,35.0
113923.021023458,40.0
113923.074494083,40.0
113923.13412925,45.0
113923.194417333,50.0
113923.254470458,0.0
113923.314603958,5.0
113923.375163458,10.0
113923.493005166,15.0
113923.556111541,20.0
113923.616359833,25.0
113923.674629416,30.0
113923.735090291,35.0
113923.795886375,40.0
113923.857892375,45.0
113923.913228041,45.0
113923.973702333,50.0
113924.03358975,0.0
113924.094116916,5.0
113924.153926625,10.0
113924.21371125,15.0
113924.2773795,20.0
113924.342013041,20.0
113924.393833583,25.0
113924.454309125,30.0
113924.513865375,35.0
113924.574929333,40.0
113924.63560575,45.0
113924.695814916,50.0
113924.765543375,50.0
113924.845822958,5.0
113924.904474166,10.0
113924.971131041,10.0
113925.025541916,15.0
113925.085691875,20.0
113925.146207291,25.0
113925.204614208,30.0
113925.265361541,35.0
113925.324384916,40.0
113925.387180375,40.0
113925.445362166,45.0
113925.506195041,50.0
113925.564774666,0.0
113925.624397166,5.0
113925.685073125,10.0
113925.745577333,15.0
113925.835712,20.0
113925.895894125,25.0
113925.955502416,30.0
113926.013806958,30.0
113926.08429,35.0
113926.133852208,40.0
113926.194015666,45.0
113926.254172833,50.0
113926.315145083,0.0
113926.374812666,5.0
113926.43442475,5.0
113926.498857875,10.0
113926.555639625,15.0
113926.615691041,20.0
113926.675417,25.0
113926.734870416,30.0
113926.795522333,35.0
113926.853976541,35.0
113926.914865958,40.0
113926.975362875,45.0
113927.035697041,50.0
113927.095320125,0.0
113927.155606291,5.0
113927.215605458,10.0
113927.305698083,15.0
113927.364188041,20.0
113927.423979708,25.0
113927.483973708,25.0
113927.543333,30.0
113927.611371625,35.0
113927.663503375,40.0
113927.72457875,45.0
113927.784122458,50.0
113927.843813916,0.0
113927.903892875,0.0
113927.965024125,5.0
113928.0314015,10.0
113928.084256958,15.0
113928.144897041,20.0
113928.204842916,25.0
113928.265129708,30.0
113928.32666975,30.0
113928.385117875,35.0
113928.44569,40.0
113928.512387708,45.0
113928.565628083,50.0
113928.626007291,0.0
113928.692276541,5.0
113928.745552083,5.0
