time,step num,fpa,drv,effect,ax (m/s2),ay (m/s2),az (m/s2),gx (rad/s),gy (rad/s),gz (rad/s)
1776368334.209286,,,,,-0.8471,3.2339,9.5139,-0.1917,0.9181,0.6532
1776368334.209366,,,,,-1.6104,3.1633,9.4086,-0.1095,0.8370,0.6316
1776368334.2112849,,,,,-2.2612,3.1513,9.4397,-0.0362,0.6929,0.5673
1776368334.2115421,,,,,-2.5771,3.2004,9.4397,0.0246,0.5298,0.4594
1776368334.211581,,,,,-2.6812,3.2925,9.6036,0.0709,0.3740,0.3206
1776368334.266015,,,,,-2.2110,3.9254,10.3657,0.0776,0.1695,-0.0116
1776368334.26757,,,,,-2.0387,3.8082,10.3944,0.0417,0.1173,-0.1678
1776368334.267773,,,,,-1.8592,3.7639,10.4267,0.0124,0.0823,-0.2902
1776368334.295797,,,,,-1.5888,3.9757,10.6074,-0.0102,0.0654,-0.3813
1776368334.2977998,,,,,-1.3268,4.0044,10.5978,-0.0415,0.0770,-0.4566
1776368334.298033,,,,,-1.3854,3.9721,10.4566,-0.0643,0.1063,-0.5066
1776368334.298222,,,,,-1.1844,3.8261,10.2449,-0.0696,0.1332,-0.5232
1776368334.299791,,,,,-1.0660,3.6467,9.9434,-0.0480,0.1756,-0.5247
1776368334.299974,,,,,-1.1043,3.5856,9.6945,0.0000,0.2251,-0.5217
1776368334.3559198,,,,,-1.2084,3.6467,9.6132,0.0568,0.2541,-0.5072
1776368334.3577092,,,,,-1.2586,3.7292,9.6120,0.1042,0.2535,-0.4780
1776368334.357954,,,,,-1.1809,3.9446,9.7340,0.1413,0.2311,-0.4381
1776368334.357995,,,,,-1.1294,4.1587,9.8441,0.1549,0.2117,-0.4001
1776368334.359087,,,,,-1.0564,4.1456,9.7484,0.1420,0.2033,-0.3600
1776368334.359274,,,,,-1.0923,3.9601,9.6215,0.1275,0.2074,-0.3106
1776368334.418242,,,,,-1.1533,3.9793,9.5665,0.1251,0.2109,-0.2433
1776368334.4187012,,,,,-1.0851,4.0714,9.5270,0.1243,0.2198,-0.1683
1776368334.418744,,,,,-1.1270,4.0630,9.4193,0.1176,0.2501,-0.0954
1776368334.418803,,,,,-1.2371,4.0259,9.3141,0.1148,0.2874,-0.0197
1776368334.420237,,,,,-1.4010,4.1312,9.2782,0.1254,0.3132,0.0615
1776368334.4202812,,,,,-1.4812,4.4148,9.3751,0.1350,0.3306,0.1403
1776368334.447277,,,,,-1.4596,4.7462,9.5115,0.1200,0.3519,0.2031
1776368334.536097,,,,,-1.4417,4.7474,9.4504,0.0687,0.3917,0.2376
1776368334.537895,,,,,-1.5793,4.6839,9.3667,0.0084,0.4465,0.2546
1776368334.538172,,,,,-1.6546,4.5679,9.1202,-0.0478,0.5005,0.2636
1776368334.538205,,,,,-1.8329,4.2712,8.7601,-0.0858,0.5512,0.2636
1776368334.543728,,,,,-1.9813,4.0941,8.3689,-0.0896,0.5826,0.2592
1776368334.543861,,,,,-2.1260,3.9565,8.1212,-0.0689,0.5901,0.2529
1776368334.543958,,,,,-2.2780,4.0283,8.2134,0.0060,0.5244,0.2645
1776368334.544044,,,,,-2.1188,4.6816,8.8965,0.0029,0.4905,0.2758
1776368334.544158,,,,,-1.7934,4.7438,8.9731,-0.0379,0.4986,0.2816
1776368334.5441742,,,,,-1.6140,4.5464,8.6967,-0.0832,0.5612,0.2801
1776368334.5673668,,,,,-1.7396,4.2389,8.1942,-0.1016,0.6448,0.2837
1776368334.597876,,,,,-1.9872,4.0463,7.7898,-0.0845,0.6950,0.2967
1776368334.5980978,,,,,-2.2445,4.0187,7.5876,-0.0420,0.6869,0.3173
1776368334.598242,,,,,-2.2983,4.1216,7.5721,0.0124,0.6329,0.3436
1776368334.59828,,,,,-2.1870,4.2855,7.6941,0.0643,0.5756,0.3616
1776368334.599158,,,,,-2.0901,4.5332,7.8449,0.0933,0.5365,0.3636
1776368334.599356,,,,,-2.0758,4.5308,7.9490,0.0968,0.5192,0.3567
1776368334.655933,1,-25.9,DRV2,52,-2.1727,4.5858,7.9980,0.0921,0.5087,0.3506
1776368334.6571798,,,,,-2.2768,4.7234,8.0829,0.0780,0.4914,0.3474
1776368334.659014,,,,,-2.3701,4.7856,8.0806,0.0472,0.4739,0.3383
1776368334.687668,,,,,-2.4981,4.7151,7.9250,0.0107,0.4598,0.3180
1776368334.6878982,,,,,-2.6369,4.6373,7.7791,-0.0166,0.4421,0.2860
1776368334.688021,,,,,-2.7194,4.5057,7.6199,-0.0292,0.4175,0.2460
1776368334.6893718,,,,,-2.8223,4.3860,7.4967,-0.0203,0.3893,0.2065
1776368334.6896489,,,,,-2.8379,4.4590,7.5075,0.0047,0.3564,0.1704
1776368334.689664,,,,,-2.7374,4.4698,7.5482,0.0272,0.3285,0.1391
1776368334.691617,,,,,-2.6859,4.4901,7.5781,0.0440,0.3192,0.1093
1776368334.747381,,,,,-2.7230,4.5200,7.6092,0.0579,0.3157,0.0796
1776368334.775939,,,,,-2.7541,4.6026,7.6726,0.0620,0.3021,0.0576
1776368334.777867,,,,,-2.7757,4.6014,7.7623,0.0472,0.2787,0.0444
1776368334.7781088,,,,,-2.7912,4.6074,7.8377,0.0176,0.2486,0.0418
1776368334.778141,,,,,-2.7625,4.5846,7.8305,-0.0191,0.2257,0.0414
1776368334.779639,,,,,-2.7649,4.5332,7.7874,-0.0565,0.2169,0.0405
1776368334.779826,,,,,-2.8786,4.4626,7.7288,-0.0907,0.2054,0.0431
1776368334.782239,,,,,-3.1825,4.4040,7.7109,-0.1229,0.1788,0.0467
1776368334.835839,,,,,-3.4696,5.0512,8.5077,-0.2436,0.0373,0.0505
1776368334.8380501,,,,,-3.1884,4.7306,8.3354,-0.3826,-0.0197,0.0338
1776368334.8382962,,,,,-2.8857,3.8548,7.8126,-0.4892,-0.0082,0.0110
1776368334.838336,,,,,-2.8881,3.4110,7.2826,-0.4890,0.0673,-0.0035
1776368334.840168,,,,,-3.1705,3.2841,6.9906,-0.4194,0.1575,-0.0224
1776368334.840251,,,,,-3.6024,3.3547,7.1055,-0.3377,0.1996,-0.0464
1776368334.895825,,,,,-3.8788,3.6526,7.4931,-0.2813,0.1674,-0.0632
1776368334.89781,,,,,-3.2973,3.2830,6.9511,-0.2471,0.0990,-0.0747
1776368334.897988,,,,,-2.7111,3.7388,8.1416,-0.0655,0.0202,-0.0812
1776368334.898113,,,,,-3.0508,3.3870,7.7803,-0.1888,0.1565,-0.1032
1776368334.898995,,,,,-3.0831,3.4516,7.4871,-0.2314,0.2083,-0.1052
1776368334.9012449,,,,,-2.9982,3.4959,7.8640,-0.1894,0.1582,-0.0980
1776368334.9014242,,,,,-2.7111,3.3188,7.7527,-0.2353,0.1417,-0.0884
1776368334.986381,,,,,-2.6142,3.0820,7.3567,-0.0751,0.0524,-0.0571
1776368334.98818,,,,,-2.3976,2.7996,6.9296,0.0206,-0.0072,-0.0212
1776368334.988332,,,,,-2.1763,3.4026,8.2265,-0.1573,0.1130,0.0505
1776368334.98844,,,,,-2.4156,3.2088,7.4333,-0.1860,0.1312,0.0783
1776368334.9902039,,,,,-2.9659,3.1454,7.4608,-0.2095,0.1046,0.0728
1776368334.990479,,,,,-3.0461,3.2171,7.4034,-0.2146,0.0730,0.0357
1776368334.990518,,,,,-2.8929,3.0257,7.5589,-0.1938,0.0683,0.0027
1776368334.9907358,,,,,-3.1202,3.1705,7.6929,-0.1787,0.0826,-0.0200
1776368334.991905,,,,,-3.2279,3.2949,7.7013,-0.1874,0.0835,-0.0380
1776368335.0489018,,,,,-3.3021,3.2064,7.5685,-0.1990,0.0820,-0.0736
1776368335.049268,,,,,-3.3404,3.0102,7.4536,-0.1849,0.0809,-0.1119
1776368335.049491,,,,,-3.4887,3.1920,7.3077,-0.1523,0.0777,-0.1469
1776368335.0498161,,,,,-3.2088,2.9527,7.5338,-0.0689,0.0557,-0.1952
